,node,stock_market_value(million),rdm_node
588,002174.SZ,8163.17145192,954
589,002175.SZ,9575.3712105,270
590,002176.SZ,11880.8949291,508
591,002177.SZ,8620.92218904,1430
592,002178.SZ,8795.58686828,1373
593,002179.SZ,19061.023707,637
594,002180.SZ,4760.39894,68
595,002181.SZ,16275.9020781,779
596,002182.SZ,3461.97116802,509
597,002183.SZ,66593.8875977,1198
598,002184.SZ,6136.93794448,220
599,002185.SZ,12555.4158988,909
600,002186.SZ,7330.77268784,1385
601,002187.SZ,6278.0555178,470
602,002188.SZ,4689.4689,362
603,002189.SZ,5963.705269,1075
604,002190.SZ,17601.1555982,658
605,002191.SZ,21722.4140192,1548
606,002192.SZ,3513.87778519,221
607,002193.SZ,3806.4536426,1123
608,002194.SZ,7541.44687601,1514
609,002195.SZ,10986.0148276,847
610,002196.SZ,2226.58091392,343
611,002197.SZ,9371.34042988,1254
612,002198.SZ,5522.6060736,863
613,002200.SZ,2918.93425133,1085
614,002201.SZ,4396.860371,353
615,002202.SZ,41820.7351145,1477
616,002204.SZ,12901.5518138,272
617,002205.SZ,3180.24225284,1188
618,002206.SZ,5774.265495,1563
619,002207.SZ,3733.97014947,870
620,002208.SZ,5509.94004524,412
621,002209.SZ,2686.56780175,1364
622,002210.SZ,16281.0444839,1502
623,002213.SZ,2233.90215147,1630
624,002214.SZ,6369.66752927,1405
625,002215.SZ,11775.7540897,478
626,002216.SZ,8233.63363646,259
627,002217.SZ,8263.87633658,983
628,002218.SZ,5025.47835923,922
629,002219.SZ,26841.4229,1579
630,002220.SZ,5561.79195012,226
631,002221.SZ,13344.8555914,738
632,002222.SZ,5424.78401761,632
633,002223.SZ,15232.698151,1168
634,002224.SZ,7971.54535762,540
635,002225.SZ,5221.13955,1463
636,002226.SZ,10425.6593633,62
637,002227.SZ,6925.03695,1038
638,002228.SZ,10025.3843763,1236
639,002229.SZ,4910.58455172,515
640,002230.SZ,31246.6622686,92
641,002231.SZ,4009.84725,844
642,002232.SZ,7554.4250481,566
643,002233.SZ,13111.6620249,1244
644,002234.SZ,3277.56581216,233
645,002235.SZ,4074.74693475,1386
646,002236.SZ,21165.7911125,1433
647,002237.SZ,9625.077,995
648,002238.SZ,9896.5152,621
649,002239.SZ,7209.06515064,1290
650,002240.SZ,4966.096428,294
651,002241.SZ,43986.6648033,1643
652,002242.SZ,14532.328486,711
653,002243.SZ,4276.7435928,533
654,002244.SZ,21129.7092936,785
655,002245.SZ,8370.00507915,36
656,002246.SZ,6540.38413416,382
657,002247.SZ,5816.0594,1269
658,002249.SZ,11606.8039913,432
659,002250.SZ,12332.2304,1141
660,002251.SZ,14126.4304836,1469
661,002252.SZ,64691.7095674,720
662,002253.SZ,5650.45848675,1013
663,002254.SZ,8192.0916931,240
664,002255.SZ,4676.12627765,940
665,002256.SZ,6926.68368,664
666,002258.SZ,5850.5805337,1460
667,002259.SZ,6240.61417324,537
668,002260.SZ,10790.988,26
669,002261.SZ,10654.8811376,956
670,002262.SZ,12802.1226841,448
671,002263.SZ,9172.25687245,1358
672,002264.SZ,5507.6976073,384
673,002265.SZ,5296.6732,200
674,002266.SZ,14999.1026731,1596
675,002267.SZ,15750.8105515,1308
676,002268.SZ,28049.9406538,1351
677,002269.SZ,29725.2902319,642
678,002270.SZ,2756.30734288,586
679,002271.SZ,11238.9517861,1293
680,002273.SZ,10827.2164375,823
681,002275.SZ,13576.0705708,328
682,002276.SZ,29161.1833686,189
683,002277.SZ,9714.663816,889
684,002278.SZ,3581.70558643,914
685,002279.SZ,4818.055599,414
686,002280.SZ,5875.961494,74
687,002281.SZ,7828.87543904,1023
688,002282.SZ,2758.5417636,520
689,002283.SZ,9537.9705762,1439
690,002284.SZ,13130.3154835,300
691,002285.SZ,26191.9865776,907
692,002286.SZ,4138.274007,1610
693,002287.SZ,15716.26,607
694,002288.SZ,9423.71563678,427
695,002289.SZ,5645.05739205,1324
696,002290.SZ,4895.00253793,404
697,002291.SZ,6231.4525,1080
698,002292.SZ,24239.90087,1554
699,002293.SZ,12660.531312,640
700,002294.SZ,13132.548,1363
701,002295.SZ,3677.9478939,575
702,002296.SZ,6078.39279168,1499
703,002297.SZ,6610.33746615,1065
704,002298.SZ,8948.5459575,824
705,002299.SZ,18266.2360755,1541
706,002300.SZ,5218.51910594,1183
707,002301.SZ,9968.7688992,231
708,002302.SZ,5502.24898083,1604
709,002303.SZ,14377.5418059,699
710,002304.SZ,85191.2263469,1312
711,002305.SZ,8911.61573632,791
712,002306.SZ,5647.404435,895
713,002307.SZ,7712.9808612,387
714,002308.SZ,19974.5571088,166
715,002309.SZ,10415.8031773,919
716,002310.SZ,16652.6678633,1472
717,002311.SZ,20900.5771394,284
718,002312.SZ,20293.9785249,236
719,002313.SZ,4502.121,725
720,002314.SZ,7433.566748,93
721,002315.SZ,5791.429248,1064
722,002317.SZ,6681.67309847,583
723,002318.SZ,16953.7546157,639
724,002319.SZ,4388.81928755,1553
725,002320.SZ,11681.7836448,912
726,002321.SZ,5200.07806728,1626
727,002322.SZ,5728.0024527,502
728,002323.SZ,2687.081488,1234
729,002324.SZ,5428.5469772,1021
730,002325.SZ,12635.1921934,73
731,002326.SZ,11219.4197307,1338
732,002327.SZ,5572.45476274,422
733,002328.SZ,4585.789376,299
734,002329.SZ,8700.45065527,1039
735,002330.SZ,5250.0514,477
736,002331.SZ,5676.02438364,1442
737,002332.SZ,8098.90876224,1033
738,002333.SZ,4779.3765906,346
739,002334.SZ,6356.51312086,1462
740,002335.SZ,6618.3806268,746
741,002336.SZ,10212.0,981
742,002337.SZ,7323.9145875,255
743,002338.SZ,8627.573474,1645
744,002339.SZ,9896.07932,928
745,002340.SZ,17774.4549002,22
746,002341.SZ,4913.21351488,757
747,002342.SZ,7824.87751875,1334
748,002343.SZ,3730.14305862,421
749,002344.SZ,21650.2426897,849
750,002345.SZ,15160.023699,1561
751,002347.SZ,3547.7323596,323
752,002348.SZ,5792.13698466,348
753,002349.SZ,8120.1761758,1455
754,002350.SZ,5014.609425,1082
755,002351.SZ,4776.502116,396
756,002352.SZ,1583.9346346,1489
757,002353.SZ,28175.6955801,817
758,002354.SZ,5173.75480478,1616
759,002355.SZ,3775.53631402,1284
760,002356.SZ,5863.2,1154
761,002357.SZ,4660.54647097,890
762,002358.SZ,14351.0546957,811
763,002359.SZ,3288.97559249,78
764,002360.SZ,4362.5223628,692
765,002361.SZ,3640.431385,881
766,002362.SZ,5542.06048396,161
