Label,Month,Year,Natural_Disasters,Close (Rs.)
CIND.N0000,3,1992,0.0,75.86904761904762
COMB.N0000,3,1992,0.0,258.84615384615387
CTC.N0000,3,1992,0.0,55.325
CTCE.N0000,3,1992,0.0,60.675
CTHR.N0000,3,1992,0.0,350.0
DFCC.N0000,3,1992,0.0,1375.5238095238096
DIPD.N0000,3,1992,0.0,76.59375
GHLL.N0000,3,1992,0.0,7.6
GRAN.N0000,3,1992,0.0,188.33333333333334
HAYC.N0000,3,1992,0.0,144.19230769230768
HAYL.N0000,3,1992,0.0,468.42105263157896
HDEV.N0000,3,1992,0.0,29.7
HNB.N0000,3,1992,0.0,366.75
JKH.N0000,3,1992,0.0,319.5833333333333
KAPI.N0000,3,1992,0.0,35.575
LCEM.N0000,3,1992,0.0,7.65625
LMF.N0000,3,1992,0.0,36.54761904761905
NEST.N0000,3,1992,0.0,24.625
ONAL.N0000,3,1992,0.0,18.0
OSEA.N0000,3,1992,0.0,20.886363636363637
PDL.N0000,3,1992,0.0,18.5
RICH.N0000,3,1992,0.0,257.5
SAMP.N0000,3,1992,0.0,35.70238095238095
SEYB.N0000,3,1992,0.0,82.83333333333333
SHOT.N0000,3,1992,0.0,65.0
SPEN.N0000,3,1992,0.0,281.7857142857143
SUGA.N0000,3,1992,0.0,36.666666666666664
TILE.N0000,3,1992,0.0,68.91666666666667
TKYO.N0000,3,1992,0.0,41.5
ARPI.N0000,4,1992,0.0,70.0
ASIR.N0000,4,1992,0.0,24.166666666666668
BHR.N0000,4,1992,0.0,81.25
BRWN.N0000,4,1992,0.0,138.75
CFIN.N0000,4,1992,0.0,309.2708333333333
CFLB.N0000,4,1992,0.0,11.625
CFT.N0000,4,1992,0.0,76.0
CIC.N0000,4,1992,0.0,136.02083333333334
CIND.N0000,4,1992,0.0,83.6029411764706
COMB.N0000,4,1992,0.0,266.1875
CTC.N0000,4,1992,0.0,58.35294117647059
CTCE.N0000,4,1992,0.0,60.0
DFCC.N0000,4,1992,0.0,1460.4375
DIPD.N0000,4,1992,0.0,100.8
EAST.N0000,4,1992,0.0,37.333333333333336
GHLL.N0000,4,1992,0.0,7.03125
GRAN.N0000,4,1992,0.0,188.5
HAYC.N0000,4,1992,0.0,155.925
HAYL.N0000,4,1992,0.0,415.0
HDEV.N0000,4,1992,0.0,29.28846153846154
HNB.N0000,4,1992,0.0,405.52272727272725
JKH.N0000,4,1992,0.0,340.2352941176471
KAPI.N0000,4,1992,0.0,30.2
LCEM.N0000,4,1992,0.0,6.4
LMF.N0000,4,1992,0.0,39.955882352941174
NEST.N0000,4,1992,0.0,25.354166666666668
ONAL.N0000,4,1992,0.0,14.791666666666666
OSEA.N0000,4,1992,0.0,20.0
PARQ.N0000,4,1992,0.0,90.0
PDL.N0000,4,1992,0.0,18.02777777777778
RICH.N0000,4,1992,0.0,216.2
SAMP.N0000,4,1992,0.0,35.85294117647059
SEYB.N0000,4,1992,0.0,84.6470588235294
SHAL.N0000,4,1992,0.0,575.0
SHOT.N0000,4,1992,0.0,75.83333333333333
SPEN.N0000,4,1992,0.0,326.72727272727275
SUGA.N0000,4,1992,0.0,38.73529411764706
TILE.N0000,4,1992,0.0,78.390625
TKYO.N0000,4,1992,0.0,35.9
ACL.N0000,5,1992,0.0,167.33333333333334
ARPI.N0000,5,1992,0.0,70.8
ASIR.N0000,5,1992,0.0,22.75
BHR.N0000,5,1992,0.0,85.25
BINN.N0000,5,1992,0.0,45.0
BOGA.N0000,5,1992,0.0,11.928571428571429
CARG.N0000,5,1992,0.0,209.375
CFIN.N0000,5,1992,0.0,315.0
CFLB.N0000,5,1992,0.0,20.0
CFT.N0000,5,1992,0.0,68.5
CIC.N0000,5,1992,0.0,136.08333333333334
CIND.N0000,5,1992,0.0,100.0
COMB.N0000,5,1992,0.0,250.25
