Label,Year,Month,Close (Rs.),Election
TILE.N0000,2012,4,61.3,0
TJL.N0000,2012,4,7.5,0
TKYO.N0000,2012,4,37.0,0
TKYO.X0000,2012,4,24.1,0
TWOD.N0000,2012,4,15.95,0
TYRE.N0000,2012,4,28.0,0
UBC.N0000,2012,4,16.85,0
UDPL.N0000,2012,4,28.8,0
VFIN.N0000,2012,4,37.45,0
VLL.N0000,2012,4,5.9,0
VONE.N0000,2012,4,17.6,0
VPEL.N0000,2012,4,6.55,0
WATA.N0000,2012,4,9.25,0
AAIC.N0000,2012,5,83.2,0
ACL.N0000,2012,5,57.1,0
AEL.N0000,2012,5,20.0,0
AGST.N0000,2012,5,9.2,0
AMF.N0000,2012,5,350.0,0
AMSL.N0000,2012,5,7.6,0
ARPI.N0000,2012,5,85.1,0
ASHA.N0000,2012,5,220.0,0
ASIR.N0000,2012,5,8.0,0
BFL.N0000,2012,5,113.4,0
BHR.N0000,2012,5,64.05,0
BIL.N0000,2012,5,2.8,0
BINN.N0000,2012,5,65.85,0
BLI.N0000,2012,5,23.0,0
BOGA.N0000,2012,5,19.0,0
BRWN.N0000,2012,5,134.5,0
CARE.N0000,2012,5,27.5,0
CARG.N0000,2012,5,164.0,0
CCS.N0000,2012,5,93.1,0
CDB.X0000,2012,5,46.8,0
CFIN.N0000,2012,5,144.35000000000002,0
CFL.N0000,2012,5,13.5,0
CFLB.N0000,2012,5,29.1,0
CFT.N0000,2012,5,4.8,0
CFVF.N0000,2012,5,10.2,0
CHOU.N0000,2012,5,10.5,0
CIC.N0000,2012,5,95.1,0
CIC.X0000,2012,5,60.1,0
CIFL.N0000,2012,5,4.1,0
CIND.N0000,2012,5,60.7,0
CINV.N0000,2012,5,70.1,0
CITK.N0000,2012,5,6.8,0
CITW.N0000,2012,5,7.0,0
CLPL.N0000,2012,5,76.1,0
CLPL.W0013,2012,5,8.8,0
CLPL.W0014,2012,5,8.2,0
COCR.N0000,2012,5,15.0,0
COMB.N0000,2012,5,105.0,0
COMB.X0000,2012,5,79.0,0
CSF.W0021,2012,5,2.0,0
CTC.N0000,2012,5,690.0,0
CTCE.N0000,2012,5,155.0,0
CTHR.N0000,2012,5,150.0,0
DFCC.N0000,2012,5,116.6,0
DIAL.N0000,2012,5,5.4,0
DIPD.N0000,2012,5,93.0,0
DIST.N0000,2012,5,136.1,0
DPL.N0000,2012,5,11.3,0
EAST.N0000,2012,5,12.0,0
ELPL.N0000,2012,5,10.9,0
EQIT.N0000,2012,5,28.0,0
ESL.N0000,2012,5,15.2,0
EXPO.N0000,2012,5,6.1,0
FLCH.N0000,2012,5,1.7,0
GHLL.N0000,2012,5,13.5,0
GLAS.N0000,2012,5,5.5,0
GOOD.N0000,2012,5,1200.0,0
GRAN.N0000,2012,5,42.5,0
GREG.N0000,2012,5,14.0,0
GREG.W0003,2012,5,4.9,0
GREG.W0006,2012,5,4.9,0
HASU.N0000,2012,5,40.0,0
HAYC.N0000,2012,5,160.0,0
HAYL.N0000,2012,5,350.0,0
HHL.N0000,2012,5,22.2,0
HNB.N0000,2012,5,153.0,0
HNB.X0000,2012,5,94.1,0
HUEJ.N0000,2012,5,70.0,0
IDL.N0000,2012,5,168.0,0
JFIN.N0000,2012,5,240.0,0
JINS.N0000,2012,5,10.0,0
JKH.N0000,2012,5,198.1,0
KAPI.N0000,2012,5,18.2,0
KGAL.N0000,2012,5,103.0,0
KOTA.N0000,2012,5,69.95,0
KURU.N0000,2012,5,22.8,0
KZOO.N0000,2012,5,2050.0,0
LCEM.N0000,2012,5,8.8,0
LDEV.N0000,2012,5,7.1,0
LFIN.N0000,2012,5,114.3,0
LIOC.N0000,2012,5,16.5,0
LION.N0000,2012,5,217.9,0
LLUB.N0000,2012,5,165.0,0
LMF.N0000,2012,5,90.3,0
LOFC.N0000,2012,5,3.3,0
LOLC.N0000,2012,5,38.0,0
LPRT.N0000,2012,5,85.2,0
LWL.N0000,2012,5,61.0,0
MFL.N0000,2012,5,16.5,0
MGT.N0000,2012,5,8.5,0
MIRA.N0000,2012,5,139.6,0
MORI.N0000,2012,5,180.0,0
MORI.X0000,2012,5,102.35,0
MPRH.N0000,2012,5,18.5,0
NAVF.U0000,2012,5,55.5,0
NDB.N0000,2012,5,117.5,0
NEST.N0000,2012,5,1170.0,0
NHL.N0000,2012,5,2.9,0
NIFL.N0000,2012,5,6.3,0
NTB.N0000,2012,5,48.7,0
OGL.N0000,2012,5,14.45,0
ONAL.N0000,2012,5,47.4,0
OSEA.N0000,2012,5,13.2,0
PALM.N0000,2012,5,143.25,0
PAP.N0000,2012,5,2.1,0
PARA.N0000,2012,5,1450.0,0
PARQ.N0000,2012,5,13.3,0
PCH.N0000,2012,5,6.7,0
PCP.N0000,2012,5,13.55,0
PDL.N0000,2012,5,42.6,0
PLC.N0000,2012,5,10.9,0
