Currency,Date,"Buy Rate","Sell Rate"
AUD,2022-08-15,251.8902,264.0291
AUD,2022-08-12,251.9463,263.9965
AUD,2022-08-10,246.7568,258.8081
AUD,2022-08-09,247.6772,259.7439
AUD,2022-08-08,245.6506,257.4015
AUD,2022-08-05,246.9783,258.7954
AUD,2022-08-04,246.7351,258.4473
AUD,2022-08-03,245.5791,257.3277
AUD,2022-08-02,248.7958,260.4989
AUD,2022-08-01,247.9039,259.5715
AUD,2022-07-29,248.1872,259.8727
AUD,2022-07-28,248.1257,259.4611
AUD,2022-07-27,245.7672,256.9969
AUD,2022-07-26,247.4625,258.7512
AUD,2022-07-25,245.1994,256.4107
AUD,2022-07-22,245.5822,256.8061
AUD,2022-07-21,244.8104,256.2894
AUD,2022-07-20,245.7616,257.0908
AUD,2022-07-19,242.2331,253.5875
AUD,2022-07-18,241.5946,252.9158
AUD,2022-07-15,239.3498,250.5286
AUD,2022-07-14,240.7167,251.8100
AUD,2022-07-12,238.2609,249.7012
AUD,2022-07-11,242.2046,253.6104
AUD,2022-07-08,242.3098,253.4198
AUD,2022-07-07,241.1183,252.7369
AUD,2022-07-06,240.5598,252.1803
AUD,2022-07-05,242.6733,254.2801
AUD,2022-07-04,240.8130,252.1243
AUD,2022-07-01,242.2564,253.8414
AUD,2022-06-30,243.4459,255.1473
AUD,2022-06-29,244.0925,255.8093
AUD,2022-06-28,244.7241,256.3767
AUD,2022-06-27,245.0584,256.4772
AUD,2022-06-24,243.9980,255.6136
AUD,2022-06-23,244.1571,255.4851
AUD,2022-06-22,245.2253,256.3672
AUD,2022-06-21,247.2602,258.5342
AUD,2022-06-20,245.7166,256.9557
AUD,2022-06-17,247.8299,259.2657
AUD,2022-06-16,247.8146,259.2795
AUD,2022-06-15,243.8557,255.3141
AUD,2022-06-13,247.6575,259.7272
AUD,2022-06-10,250.4639,262.3776
AUD,2022-06-09,253.5325,265.2208
AUD,2022-06-08,254.4251,266.5298
AUD,2022-06-07,253.3227,264.9531
AUD,2022-06-06,253.4652,264.8644
AUD,2022-06-03,255.5206,266.9611
AUD,2022-06-02,252.3378,263.7132
AUD,2022-06-01,252.6949,264.0762
AUD,2022-05-31,253.2100,264.6025
AUD,2022-05-30,252.8792,264.2662
AUD,2022-05-27,250.3769,261.7124
AUD,2022-05-26,249.0737,260.3820
AUD,2022-05-25,249.0191,260.3281
AUD,2022-05-24,248.3172,259.5751
AUD,2022-05-23,249.0332,260.3089
AUD,2022-05-20,246.2471,257.4611
AUD,2022-05-19,245.6517,256.8567
AUD,2022-05-18,246.2557,257.4711
AUD,2022-05-17,245.9156,257.2205
AUD,2022-05-13,241.9074,253.1269
