Label,Year,Month,Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.),Loan Rate,Inflation,Buy Rate,Election
DFCC.N0000,2017,5,126.285,33.0,23717.0,3023905.85,8.75,6.0,150.61125,0
DIPD.N0000,2017,5,91.69473684210529,14.0,5663.0,466577.8,8.75,6.0,150.61125,0
EAST.N0000,2017,5,15.144444444444446,13.0,4326.5,65292.3,8.75,6.0,150.61125,0
GHLL.N0000,2017,5,10.22,14.5,6420.0,65015.75,8.75,6.0,150.61125,0
GLAS.N0000,2017,5,6.075,21.0,192155.5,1173153.55,8.75,6.0,150.61125,0
GRAN.N0000,2017,5,71.86,114.5,99972.5,7387777.199999999,8.75,6.0,150.61125,0
HAYC.N0000,2017,5,156.51333333333332,6.0,1539.0,232145.3,8.75,6.0,150.61125,0
HAYL.N0000,2017,5,286.81052631578945,16.0,7098.0,2029211.0,8.75,6.0,150.61125,0
HNB.N0000,2017,5,235.31,15.5,42667.5,10015771.8,8.75,6.0,150.61125,0
JKH.N0000,2017,5,165.695,102.0,237934.5,39737736.0,8.75,6.0,150.61125,0
LMF.N0000,2017,5,120.58333333333331,5.0,2389.0,287245.7,8.75,6.0,150.61125,0
LWL.N0000,2017,5,104.47368421052632,14.0,12684.0,1327835.6,8.75,6.0,150.61125,0
NDB.N0000,2017,5,146.2,26.0,17551.0,2508780.05,8.75,6.0,150.61125,0
NEST.N0000,2017,5,2214.05625,7.5,206.0,461479.95,8.75,6.0,150.61125,0
ONAL.N0000,2017,5,48.73333333333333,3.0,251.0,12312.65,8.75,6.0,150.61125,0
OSEA.N0000,2017,5,20.12,15.5,15448.0,315412.55000000005,8.75,6.0,150.61125,0
PALM.N0000,2017,5,30.38823529411765,4.0,750.0,21120.0,8.75,6.0,150.61125,0
PARQ.N0000,2017,5,72.3578947368421,14.0,17766.0,1317888.0,8.75,6.0,150.61125,0
PDL.N0000,2017,5,87.55,3.0,62.5,5250.65,8.75,6.0,150.61125,0
RCL.N0000,2017,5,126.94,9.0,3552.0,448009.35,8.75,6.0,150.61125,0
RICH.N0000,2017,5,9.075,26.0,99146.5,894685.8,8.75,6.0,150.61125,0
SAMP.N0000,2017,5,284.01,49.0,49256.0,13823540.1,8.75,6.0,150.61125,0
SEMB.N0000,2017,5,0.73,8.0,125158.5,94926.85,8.75,6.0,150.61125,0
SEYB.N0000,2017,5,90.5,7.0,8394.5,768915.6,8.75,6.0,150.61125,0
