Label,Year,Month,Loan Rate,Election,Close (Rs.),Inflation,Buy Rate
OSEA.N0000,1992,1,19.5,0,22.0,12.1,42.68
PDL.N0000,1992,1,19.5,0,23.95,12.1,42.68
RICH.N0000,1992,1,19.5,0,265.5,12.1,42.68
SAMP.N0000,1992,1,19.5,0,48.69047619047619,12.1,42.68
SEYB.N0000,1992,1,19.5,0,95.60714285714286,12.1,42.68
SHOT.N0000,1992,1,19.5,0,79.0,12.1,42.68
SPEN.N0000,1992,1,19.5,0,285.0178571428572,12.1,42.68
SUGA.N0000,1992,1,19.5,0,46.47058823529412,12.1,42.68
SUN.N0000,1992,1,19.5,0,15.0,12.1,42.68
TILE.N0000,1992,1,19.5,0,86.36666666666666,12.1,42.68
TKYO.N0000,1992,1,19.5,0,51.535714285714285,12.1,42.68
ARPI.N0000,1992,2,19.5,0,70.8,10.7,43.05
ASIR.N0000,1992,2,19.5,0,28.75,10.7,43.05
BHR.N0000,1992,2,19.5,0,73.55,10.7,43.05
BINN.N0000,1992,2,19.5,0,49.75,10.7,43.05
BRWN.N0000,1992,2,19.5,0,140.0,10.7,43.05
CFIN.N0000,1992,2,19.5,0,281.22222222222223,10.7,43.05
CFLB.N0000,1992,2,19.5,0,15.0,10.7,43.05
CFT.N0000,1992,2,19.5,0,88.0,10.7,43.05
CHOU.N0000,1992,2,19.5,0,24.625,10.7,43.05
CIC.N0000,1992,2,19.5,0,75.0,10.7,43.05
CIND.N0000,1992,2,19.5,0,72.55882352941177,10.7,43.05
COMB.N0000,1992,2,19.5,0,280.9642857142857,10.7,43.05
CTC.N0000,1992,2,19.5,0,54.267857142857146,10.7,43.05
CTCE.N0000,1992,2,19.5,0,70.08333333333333,10.7,43.05
CTHR.N0000,1992,2,19.5,0,360.375,10.7,43.05
DFCC.N0000,1992,2,19.5,0,1400.2222222222222,10.7,43.05
DIPD.N0000,1992,2,19.5,0,92.83333333333331,10.7,43.05
DIST.N0000,1992,2,19.5,0,11.0,10.7,43.05
EQIT.N0000,1992,2,19.5,0,18.1875,10.7,43.05
GHLL.N0000,1992,2,19.5,0,8.703125,10.7,43.05
GRAN.N0000,1992,2,19.5,0,196.28125,10.7,43.05
HAYC.N0000,1992,2,19.5,0,130.27272727272728,10.7,43.05
HAYL.N0000,1992,2,19.5,0,358.57142857142856,10.7,43.05
HDEV.N0000,1992,2,19.5,0,32.833333333333336,10.7,43.05
HNB.N0000,1992,2,19.5,0,410.0,10.7,43.05
HUEJ.N0000,1992,2,19.5,0,50.0,10.7,43.05
JKH.N0000,1992,2,19.5,0,276.9558823529412,10.7,43.05
JKH.R0000,1992,2,19.5,0,114.2,10.7,43.05
LCEM.N0000,1992,2,19.5,0,9.333333333333334,10.7,43.05
LMF.N0000,1992,2,19.5,0,34.69444444444444,10.7,43.05
NEST.N0000,1992,2,19.5,0,18.75,10.7,43.05
ONAL.N0000,1992,2,19.5,0,18.0,10.7,43.05
OSEA.N0000,1992,2,19.5,0,22.0625,10.7,43.05
PARQ.N0000,1992,2,19.5,0,91.0,10.7,43.05
PDL.N0000,1992,2,19.5,0,19.285714285714285,10.7,43.05
