Label,Month,Year,Close (Rs.)
MORI.N0000,11,1992,66.66666666666667
NEST.N0000,11,1992,16.98076923076923
ONAL.N0000,11,1992,12.125
OSEA.N0000,11,1992,12.6875
PARQ.N0000,11,1992,48.25
PDL.N0000,11,1992,15.729166666666666
RICH.N0000,11,1992,216.33333333333334
SAMP.N0000,11,1992,26.425
SELI.N0000,11,1992,549.75
SEYB.N0000,11,1992,61.35526315789474
SHOT.N0000,11,1992,66.0
SPEN.N0000,11,1992,238.95
SUGA.N0000,11,1992,14.631578947368421
SUN.N0000,11,1992,27.0
TILE.N0000,11,1992,64.3125
TKYO.N0000,11,1992,13.625
ACL.N0000,12,1992,157.59375
ARPI.N0000,12,1992,80.0
ASIR.N0000,12,1992,16.375
BHR.N0000,12,1992,41.8125
BOGA.N0000,12,1992,7.7023809523809526
BRWN.N0000,12,1992,0.0
CARG.N0000,12,1992,0.0
CCS.N0000,12,1992,33.333333333333336
CFIN.N0000,12,1992,136.22222222222223
CFLB.N0000,12,1992,7.875
CFT.N0000,12,1992,45.0
CHOU.N0000,12,1992,15.09375
CIC.N0000,12,1992,91.60714285714286
CIC.X0000,12,1992,54.67307692307692
CIND.N0000,12,1992,84.8076923076923
CINV.N0000,12,1992,0.0
