"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"OFFICE EQUIPMENT PLC","OFEQ.N0000","55.00","91.90","45.00","89.90","261.00","156,107.00","10,931,520.50"
"TESS AGRO PLC","TESS.X0000","1.10","1.20","0.40","0.50","2,131.00","14,481,120.00","10,018,391.50"
"RENUKA HOLDINGS PLC","RHL.X0000","18.00","19.00","10.50","14.70","538.00","754,677.00","9,915,919.40"
"PALM GARDEN HOTELS PLC","PALM.N0000","29.90","29.90","19.10","21.40","699.00","391,287.00","9,685,198.50"
"CEYLON TEA BROKERS PLC","CTBL.R0000","0.60","1.00","0.30","0.40","275.00","29,110,613.00","8,948,854.50"
"BROWNS BEACH HOTELS PLC","BBH.N0000","16.90","17.40","12.00","12.30","1,004.00","590,364.00","8,894,426.60"
"BLUE DIAMONDS JEWELLERY WORLDWIDE PLC","BLUE.X0000","0.40","0.60","0.20","0.30","1,606.00","26,161,864.00","8,883,398.10"
"LANKA ALUMINIUM INDUSTRIES PLC","LALU.N0000","68.50","74.60","53.00","65.90","670.00","142,984.00","8,873,960.30"
"WASKADUWA BEACH RESORT PLC","CITW.N0000","3.80","3.90","2.30","2.50","1,583.00","2,760,892.00","8,554,144.40"
"COMMERCIAL LEASING & FINANCE PLC","CLC.N0000","2.90","3.10","1.90","2.60","1,420.00","2,953,385.00","7,671,680.70"
"MULLER & PHIPPS (CEYLON) PLC","MULL.N0000","1.10","1.20","0.50","0.60","1,216.00","9,015,790.00","7,593,106.60"
"UDAPUSSELLAWA  PLANTATIONS PLC","UDPL.N0000","40.00","46.70","24.00","30.00","831.00","220,595.00","7,508,878.90"
"SINGER INDUSTRIES (CEYLON) PLC","SINI.N0000","144.90","175.00","62.00","66.00","596.00","71,512.00","7,484,422.30"
"LOTUS HYDRO POWER PLC","HPFL.N0000","5.80","6.00","4.20","4.50","1,051.00","1,422,995.00","7,339,732.10"
"TRADE FINANCE & INVESTMENTS PLC","TFIL.N0000","44.00","75.00","42.00","57.90","268.00","110,289.00","7,054,838.50"
"SATHOSA MOTORS PLC","SMOT.N0000","316.00","550.00","300.00","534.50","479.00","16,609.00","6,820,527.50"
"CITY HOUSING & REAL ESTATE CO. PLC","CHOU.N0000","6.40","7.00","4.00","4.90","1,259.00","1,264,889.00","6,621,971.50"
"CEYLON HOTELS CORPORATION PLC","CHOT.N0000","17.00","17.30","11.00","12.00","742.00","510,184.00","6,497,812.70"
"AGSTAR PLC","AGST.N0000","5.00","5.40","3.20","3.80","765.00","1,456,523.00","6,327,011.10"
"HAYLEYS LEISURE PLC","CONN.N0000","52.00","56.00","36.20","40.00","459.00","128,551.00","6,232,873.30"
"HORANA PLANTATIONS PLC","HOPL.N0000","24.30","28.90","13.80","15.00","424.00","341,751.00","6,162,901.00"
"HAPUGASTENNE PLANTATIONS PLC","HAPU.N0000","29.90","30.80","13.50","16.30","900.00","259,161.00","6,064,692.00"
"PRIME FINANCE PLC","GSF.N0000","21.50","24.30","14.40","18.10","512.00","288,858.00","5,994,448.60"
"LUCKY LANKA MILK PROCESSING COMPANY PLC","LLMP.X0000","1.30","1.30","0.60","0.80","1,146.00","6,777,754.00","5,877,277.70"
"MORISON PLC","MORI.N0000","500.00","760.00","500.00","720.90","203.00","9,116.00","5,783,497.30"
"PMF FINANCE PLC","PMB.N0000","12.50","14.00","8.20","11.40","887.00","490,625.00","5,684,089.50"
"PRINTCARE PLC","CARE.N0000","30.10","35.00","23.50","30.20","230.00","196,837.00","5,394,824.20"
"ARPICO FINANCE COMPANY PLC","ARPI.N0000","161.90","178.40","140.00","150.00","367.00","34,250.00","5,251,954.00"
"MAHAWELI REACH HOTELS PLC","MRH.N0000","17.10","19.80","12.60","13.00","868.00","320,820.00","4,901,536.20"
"YORK ARCADE HOLDINGS PLC","YORK.N0000","14.00","143.90","13.00","85.00","685.00","121,707.00","4,748,266.90"
"THE AUTODROME PLC","AUTO.N0000","75.00","105.00","65.00","80.00","446.00","56,445.00","4,713,628.90"
"NATIONAL DEVELOPMENT BANK PLC","NDB.R0000","0.10","4.90","0.10","0.10","881.00","17,150,902.00","4,509,027.40"
"LUCKY LANKA MILK PROCESSING COMPANY PLC","LLMP.N0000","1.90","1.90","0.90","1.10","1,040.00","3,487,895.00","4,494,083.00"
"TANGERINE BEACH HOTELS PLC","TANG.N0000","50.00","52.00","34.20","36.40","447.00","106,425.00","4,438,006.60"
"TEA SMALLHOLDER FACTORIES PLC","TSML.N0000","35.10","40.00","21.00","26.00","515.00","137,286.00","4,290,387.10"
"ROYAL PALMS BEACH HOTELS PLC","RPBH.N0000","21.90","21.90","14.60","15.50","426.00","233,778.00","3,831,786.70"
"UNION CHEMICALS LANKA PLC","UCAR.N0000","391.00","499.00","310.00","400.00","195.00","9,136.00","3,676,568.10"
"THE  LIGHTHOUSE  HOTEL  PLC","LHL.N0000","43.90","45.00","27.10","29.20","486.00","93,864.00","3,320,145.10"
"BANSEI ROYAL RESORTS HIKKADUWA PLC","BRR.N0000","7.00","7.50","4.10","6.00","658.00","550,121.00","3,290,080.20"
"EQUITY TWO PLC","ETWO.N0000","50.00","77.80","42.00","54.90","424.00","59,861.00","3,279,506.40"
"GESTETNER OF CEYLON PLC","GEST.N0000","117.90","125.00","96.00","100.00","229.00","28,639.00","3,124,344.60"
