"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)","even","even 2","even 3","even 4","even 5","even 6","even 7","even 8"
"LANKA ALUMINIUM INDUSTRIES PLC","","","","","","","","","LALU.N0000","113.70","170.00","14.00","26.60","50,058.00","106,906,594.00","2,894,406,264.75"
"BOGALA GRAPHITE LANKA PLC","BOGA.N0000","27.50","178.25","18.00","101.75","39,690.00","30,099,572.00","2,893,673,955.00","","","","","","","",""
"TEEJAY LANKA PLC","","","","","","","","","TJL.N0000","38.00","47.50","36.10","44.40","27,956.00","185,753,190.00","7,784,805,578.00"
"TEEJAY LANKA PLC","TJL.N0000","38.00","47.50","36.10","44.40","27,956.00","185,753,190.00","7,784,805,578.00","","","","","","","",""
"LION BREWERY (CEYLON) PLC","","","","","","","","","LION.N0000","602.00","648.50","445.00","585.00","1,269.00","5,256,864.00","2,786,832,648.10"
"LION BREWERY (CEYLON) PLC","LION.N0000","602.00","648.50","445.00","585.00","1,269.00","5,256,864.00","2,786,832,648.10","","","","","","","",""
"BAIRAHA FARMS PLC","","","","","","","","","BFL.N0000","140.00","320.00","121.00","286.50","21,687.00","15,368,179.00","2,783,562,393.35"
"SOFTLOGIC LIFE INSURANCE PLC","AAIC.N0000","38.60","38.60","20.00","34.80","9,325.00","108,892,374.00","3,934,773,745.50","","","","","","","",""
"UNION BANK OF COLOMBO PLC","","","","","","","","","UBC.N0000","11.80","17.00","10.00","11.10","25,061.00","203,014,713.00","2,695,309,462.50"
"CEYLON TOBACCO COMPANY PLC","CTC.N0000","1,110.00","1,160.00","875.00","1,028.90","5,452.00","2,705,723.00","2,641,905,196.30","","","","","","","",""
"CEYLON TOBACCO COMPANY PLC","","","","","","","","","CTC.N0000","1,110.00","1,160.00","875.00","1,028.90","5,452.00","2,705,723.00","2,641,905,196.30"
"PRIME LANDS RESIDENCIES PLC","PLR.N0000","12.00","14.90","8.10","11.20","47,241.00","240,357,290.00","2,617,456,702.70","","","","","","","",""
"NATIONAL DEVELOPMENT BANK PLC","","","","","","","","","NDB.N0000","78.50","105.75","67.90","68.90","31,141.00","37,196,832.00","3,050,131,250.75"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","78.50","105.75","67.90","68.90","31,141.00","37,196,832.00","3,050,131,250.75","","","","","","","",""
"VALLIBEL POWER ERATHNA PLC","","","","","","","","","VPEL.N0000","6.40","8.50","4.80","7.90","24,459.00","318,230,546.00","2,451,916,282.90"
"VALLIBEL POWER ERATHNA PLC","VPEL.N0000","6.40","8.50","4.80","7.90","24,459.00","318,230,546.00","2,451,916,282.90","","","","","","","",""
"PAN ASIA BANKING CORPORATION PLC","","","","","","","","","PABC.N0000","13.00","22.50","13.00","15.50","44,976.00","140,901,772.00","2,409,709,811.20"
"DFCC BANK PLC","DFCC.N0000","91.70","91.80","47.90","65.30","42,692.00","98,438,908.00","6,379,470,652.80","","","","","","","",""
"PANASIAN POWER PLC","","","","","","","","","PAP.N0000","4.10","7.20","3.40","5.50","34,650.00","876,589,586.00","4,041,535,048.30"
"PANASIAN POWER PLC","PAP.N0000","4.10","7.20","3.40","5.50","34,650.00","876,589,586.00","4,041,535,048.30","","","","","","","",""
"PEOPLE'S LEASING & FINANCE PLC","","","","","","","","","PLC.N0000","12.50","15.40","10.00","10.70","32,977.00","184,392,109.00","2,314,580,511.60"
"VALLIBEL FINANCE PLC","VFIN.N0000","67.40","194.50","37.00","39.90","39,312.00","31,252,016.00","2,306,994,665.95","","","","","","","",""
"KELANI CABLES PLC","","","","","","","","","KCAB.N0000","115.10","550.00","103.00","489.75","16,254.00","10,501,515.00","2,215,397,413.30"
"CEYLON GRAIN ELEVATORS PLC","GRAN.N0000","111.00","167.00","104.75","121.75","43,275.00","33,872,694.00","4,451,579,317.85","","","","","","","",""
"CEYLON GRAIN ELEVATORS PLC","","","","","","","","","GRAN.N0000","111.00","167.00","104.75","121.75","43,275.00","33,872,694.00","4,451,579,317.85"
"PRIME FINANCE PLC","GSF.N0000","13.40","19.90","10.00","18.80","3,771.00","110,483,064.00","2,200,920,078.10","","","","","","","",""
"C I C HOLDINGS PLC","","","","","","","","","CIC.X0000","152.50","157.50","35.10","49.10","46,682.00","134,666,703.00","6,307,803,673.30"
"C I C HOLDINGS PLC","CIC.X0000","152.50","157.50","35.10","49.10","46,682.00","134,666,703.00","6,307,803,673.30","","","","","","","",""
"SIERRA CABLES PLC","","","","","","","","","SIRA.N0000","6.30","16.70","5.50","14.30","72,036.00","582,203,502.00","5,840,425,373.00"
"SIERRA CABLES PLC","SIRA.N0000","6.30","16.70","5.50","14.30","72,036.00","582,203,502.00","5,840,425,373.00","","","","","","","",""
"LANKA MILK FOODS (CWE) PLC","","","","","","","","","LMF.N0000","150.00","295.00","137.25","268.75","38,414.00","26,222,127.00","4,795,027,188.65"
"LANKA MILK FOODS (CWE) PLC","LMF.N0000","150.00","295.00","137.25","268.75","38,414.00","26,222,127.00","4,795,027,188.65","","","","","","","",""
"SMB FINANCE PLC","","","","","","","","","SEMB.X0000","0.40","0.80","0.10","0.70","38,363.00","5,656,705,258.00","2,101,738,892.90"
"SEYLAN BANK PLC","SEYB.N0000","53.50","53.50","25.00","46.00","11,756.00","47,417,384.00","2,064,669,698.70","","","","","","","",""
"SEYLAN BANK PLC","","","","","","","","","SEYB.N0000","53.50","53.50","25.00","46.00","11,756.00","47,417,384.00","2,064,669,698.70"
"NESTLE LANKA PLC","NEST.N0000","1,275.30","1,650.00","950.00","1,215.50","9,887.00","1,690,408.00","2,010,473,403.60","","","","","","","",""
"ELPITIYA PLANTATIONS PLC","","","","","","","","","ELPL.N0000","46.60","168.00","38.00","150.00","24,410.00","23,535,113.00","1,998,284,408.80"
"E M L CONSULTANTS PLC","EML.N0000","3.60","34.00","3.60","25.00","28,647.00","105,747,352.00","1,967,352,330.40","","","","","","","",""
"THREE ACRE FARMS PLC","","","","","","","","","TAFL.N0000","173.90","305.00","173.90","300.25","13,846.00","8,501,356.00","1,965,426,224.95"
"C T HOLDINGS PLC","CTHR.N0000","162.10","198.00","160.00","166.50","1,920.00","11,100,202.00","1,938,790,596.85","","","","","","","",""
