Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs)
MARAWILA RESORTS PLC,MARA.N0000,2.7,41,253330,677019.4
WINDFORCE PLC,WIND.N0000,18.2,36,35430,642635.2
ASIA ASSET FINANCE PLC,AAF.N0000,13,12,49159,638068
CEYLON TOBACCO COMPANY PLC,CTC.N0000,1000,18,600,600130.25
UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,85,18,6420,536811.6
ACL PLASTICS PLC,APLA.N0000,390,34,1350,523379.5
SERENDIB HOTELS PLC,SHOT.X0000,9.2,18,57850,519435.2
TALAWAKELLE TEA ESTATES PLC,TPL.N0000,114,19,4140,471897.5
RENUKA CITY HOTELS PLC.,RENU.N0000,380,5,1238,471840
E B CREASY & COMPANY PLC,EBCR.N0000,23.5,30,18765,436865
C M HOLDINGS PLC,COLO.N0000,86.4,30,5105,433398.4
EAST WEST PROPERTIES PLC,EAST.N0000,8.3,23,47693,400473.6
PEGASUS HOTELS OF CEYLON PLC,PEG.R0000,4.1,98,95029,399320.4
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,24.1,58,16291,398050.6
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.5,29,912601,380920.4
L V L ENERGY FUND PLC,LVEF.N0000,6.7,28,57509,374958.7
CEYLON HOSPITALS PLC,CHL.X0000,105,6,3540,371710.75
HATTON PLANTATIONS PLC,HPL.N0000,26,30,13626,352954.3
UNITED MOTORS LANKA PLC,UML.N0000,73.5,32,4793,351895.3
REGNIS (LANKA) PLC,REG.N0000,55,38,5592,306102.5
HOTEL SIGIRIYA PLC,HSIG.N0000,43.5,16,7171,303899.3
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.3,18,993538,298211.4
HVA FOODS PLC,HVA.N0000,4.2,29,71704,295993.8
E - CHANNELLING PLC,ECL.N0000,14.9,22,19713,294081.7
SINGER FINANCE LANKA PLC,SFIN.N0000,14,12,20781,284692.2
HUNAS HOLDINGS PLC,HUNA.N0000,28.9,29,9679,273693.9
JETWING SYMPHONY PLC,JETS.N0000,8.9,15,29900,264905
PEOPLE'S INSURANCE PLC,PINS.N0000,25.3,17,9978,251137.9
HAYLEYS FIBRE PLC,HEXP.N0000,61.5,26,3991,244230.7
SANASA DEVELOPMENT BANK PLC,SDB.N0000,36.1,34,6668,242404.9
TESS AGRO PLC,TESS.N0000,1.1,29,236955,236789
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,16.6,23,14126,232338.7
DOLPHIN HOTELS PLC,STAF.N0000,33.1,9,6800,231580
RENUKA HOLDINGS PLC,RHL.N0000,15.8,14,14501,227415.8
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.4,17,21332,223727.5
MADULSIMA PLANTATIONS PLC,MADU.N0000,11,21,19462,217650.6
LUMINEX PLC,LUMX.N0000,7,18,30437,212140.3
COLOMBO DOCKYARD PLC,DOCK.N0000,60,23,3433,211761
THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,8.6,27,23176,200601.3
CHEMANEX PLC,CHMX.N0000,90.9,14,2200,198911.2
SAMSON INTERNATIONAL PLC,SIL.N0000,164,28,1204,196057.5
LAUGFS GAS PLC,LGL.N0000,35.1,16,5421,193523.7
AMANA TAKAFUL PLC,ATL.N0000,12,20,16296,184559.9
PALM GARDEN HOTELS PLC,PALM.N0000,42.5,20,4117,173392.5
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,58,12,2970,167887.1
KAPRUKA HOLDINGS PLC,KPHL.N0000,8.5,15,19054,161974
CEYLON PRINTERS PLC,CPRT.N0000,149.5,49,1071,161124.5
PANASIAN POWER PLC,PAP.N0000,3.4,19,45240,156820
CEYLON HOSPITALS PLC,CHL.N0000,130,5,1189,150964.75
WASKADUWA BEACH RESORT PLC,CITW.N0000,3,22,50413,148728.1
LOLC GENERAL INSURANCE PLC,LGIL.N0000,6.6,12,21795,144847
CEYLON TEA BROKERS PLC,CTBL.N0000,4.7,40,30511,143862.9
PMF FINANCE PLC,PMB.N0000,5.5,10,26790,142219.5
