Label,Month,Year,Close (Rs.),Severity
HASU.N0000,4,2022,34.76363636363636,201929.29
HAYC.N0000,4,2022,47.11818181818182,201929.29
HAYL.N0000,4,2022,68.36363636363636,201929.29
HBS.N0000,4,2022,18.0,201929.29
HHL.N0000,4,2022,44.41818181818182,201929.29
HNB.N0000,4,2022,94.65,201929.29
HNB.X0000,4,2022,87.5909090909091,201929.29
HVA.R0000,4,2022,0.1,201929.29
IDL.N0000,4,2022,5.666666666666667,201929.29
JINS.N0000,4,2022,23.16,201929.29
JKH.N0000,4,2022,134.45454545454547,201929.29
KGAL.N0000,4,2022,117.075,201929.29
KOTA.N0000,4,2022,3.9272727272727277,201929.29
KZOO.N0000,4,2022,6.5181818181818185,201929.29
LCBF.N0000,4,2022,1.9090909090909092,201929.29
LDEV.N0000,4,2022,3.5454545454545454,201929.29
LFIN.N0000,4,2022,53.24545454545455,201929.29
LGIL.N0000,4,2022,6.209090909090909,201929.29
LIOC.N0000,4,2022,27.263636363636362,201929.29
LION.N0000,4,2022,480.4642857142857,201929.29
LLUB.N0000,4,2022,78.82727272727273,201929.29
LMF.N0000,4,2022,121.36363636363636,201929.29
LOFC.N0000,4,2022,8.081818181818182,201929.29
LOLC.N0000,4,2022,399.45454545454544,201929.29
LPRT.N0000,4,2022,140.39285714285714,201929.29
LVEF.N0000,4,2022,8.399999999999999,201929.29
LWL.N0000,4,2022,55.16363636363636,201929.29
MDL.N0000,4,2022,11.18,201929.29
MELS.N0000,4,2022,37.50909090909091,201929.29
MFL.N0000,4,2022,9.6625,201929.29
MGT.N0000,4,2022,26.745454545454546,201929.29
NDB.N0000,4,2022,51.01818181818182,201929.29
NEST.N0000,4,2022,936.7727272727273,201929.29
NHL.N0000,4,2022,6.463636363636363,201929.29
NIFL.N0000,4,2022,159.85714285714286,201929.29
NTB.N0000,4,2022,39.03,201929.29
ONAL.N0000,4,2022,27.25,201929.29
OSEA.N0000,4,2022,13.754545454545456,201929.29
PACK.N0000,4,2022,8.636363636363637,201929.29
PALM.N0000,4,2022,35.71818181818182,201929.29
PAP.N0000,4,2022,3.6363636363636362,201929.29
PARQ.N0000,4,2022,16.836363636363636,201929.29
PINS.N0000,4,2022,26.472727272727273,201929.29
PLC.N0000,4,2022,7.2272727272727275,201929.29
PLR.N0000,4,2022,6.136363636363637,201929.29
RAL.N0000,4,2022,3.5454545454545454,201929.29
RCL.N0000,4,2022,33.39090909090909,201929.29
RICH.N0000,4,2022,12.572727272727274,201929.29
RIL.N0000,4,2022,6.027272727272727,201929.29
RWSL.N0000,4,2022,4.281818181818182,201929.29
SAMP.N0000,4,2022,39.52727272727273,201929.29
SDB.N0000,4,2022,27.54,201929.29
SELI.N0000,4,2022,608.75,201929.29
SEMB.N0000,4,2022,0.5909090909090909,201929.29
SEYB.N0000,4,2022,30.869999999999997,201929.29
SEYB.X0000,4,2022,22.027272727272727,201929.29
SHAL.N0000,4,2022,1209.5,201929.29
SHL.N0000,4,2022,28.30909090909091,201929.29
SHOT.N0000,4,2022,12.84,201929.29
SINH.N0000,4,2022,2.12,201929.29
SIRA.N0000,4,2022,6.818181818181818,201929.29
SPEN.N0000,4,2022,73.86363636363636,201929.29
SUN.N0000,4,2022,32.46363636363637,201929.29
TAFL.N0000,4,2022,150.5,201929.29
TAP.N0000,4,2022,5.990909090909091,201929.29
TILE.N0000,4,2022,44.4,201929.29
TJL.N0000,4,2022,38.5,201929.29
TKYO.N0000,4,2022,28.61818181818182,201929.29
TKYO.X0000,4,2022,22.981818181818184,201929.29
TYRE.N0000,4,2022,50.17272727272727,201929.29
UBC.N0000,4,2022,6.836363636363637,201929.29
UDPL.N0000,4,2022,30.9,201929.29
VFIN.N0000,4,2022,34.25454545454546,201929.29
VLL.N0000,4,2022,6.5636363636363635,201929.29
VONE.N0000,4,2022,35.95454545454545,201929.29
VPEL.N0000,4,2022,6.845454545454545,201929.29
WATA.N0000,4,2022,76.42727272727274,201929.29
WIND.N0000,4,2022,15.236363636363636,201929.29
AAIC.N0000,5,2022,59.59411764705882,201929.29
ACL.N0000,5,2022,44.55294117647059,201929.29
AEL.N0000,5,2022,12.358823529411765,201929.29
AGST.N0000,5,2022,6.811764705882353,201929.29
AGST.X0000,5,2022,5.0,201929.29
ALUM.N0000,5,2022,6.858823529411764,201929.29
AMF.N0000,5,2022,7.517647058823529,201929.29
AMSL.N0000,5,2022,13.94375,201929.29
ASIR.N0000,5,2022,32.55882352941177,201929.29
ASIY.N0000,5,2022,2.682352941176471,201929.29
BFL.N0000,5,2022,128.76470588235293,201929.29
BIL.N0000,5,2022,8.111764705882353,201929.29
BOGA.N0000,5,2022,59.588235294117645,201929.29
BRWN.N0000,5,2022,126.4970588235294,201929.29
CALT.N0000,5,2022,10.358823529411765,201929.29
CARE.N0000,5,2022,28.41764705882353,201929.29
CARG.N0000,5,2022,165.60294117647058,201929.29
CCS.N0000,5,2022,27.3,201929.29
CDB.X0000,5,2022,64.07058823529412,201929.29
CFIN.N0000,5,2022,61.847058823529416,201929.29
CFLB.N0000,5,2022,11.70625,201929.29
CFVF.N0000,5,2022,9.0875,201929.29
CIC.N0000,5,2022,31.96470588235294,201929.29
CIC.X0000,5,2022,21.064705882352943,201929.29
CIND.N0000,5,2022,66.84705882352942,201929.29
CINV.N0000,5,2022,30.794117647058822,201929.29
CITW.N0000,5,2022,1.6647058823529413,201929.29
COCR.N0000,5,2022,19.605882352941176,201929.29
COMB.N0000,5,2022,52.87647058823529,201929.29
COMB.X0000,5,2022,50.94705882352941,201929.29
CTC.N0000,5,2022,640.4558823529412,201929.29
CTHR.N0000,5,2022,154.8,201929.29
CWL.N0000,5,2022,12.0,201929.29
DFCC.N0000,5,2022,41.41764705882353,201929.29
DIAL.N0000,5,2022,9.48235294117647,201929.29
DIPD.N0000,5,2022,30.49411764705882,201929.29
DIST.N0000,5,2022,13.764705882352942,201929.29
DPL.N0000,5,2022,8.782352941176471,201929.29
EAST.N0000,5,2022,6.852941176470588,201929.29
ELPL.N0000,5,2022,85.86470588235295,201929.29
EML.N0000,5,2022,5.9941176470588236,201929.29
EXPO.N0000,5,2022,202.77941176470588,201929.29
GHLL.N0000,5,2022,10.741176470588234,201929.29
GLAS.N0000,5,2022,11.117647058823529,201929.29
GOOD.N0000,5,2022,1560.0,201929.29
GRAN.N0000,5,2022,71.0,201929.29
GREG.N0000,5,2022,38.99333333333333,201929.29
GSF.N0000,5,2022,19.533333333333335,201929.29
HASU.N0000,5,2022,37.39411764705883,201929.29
HAYC.N0000,5,2022,50.2764705882353,201929.29
HAYL.N0000,5,2022,70.32352941176471,201929.29
HBS.N0000,5,2022,19.852941176470587,201929.29
HHL.N0000,5,2022,43.61764705882353,201929.29
HNB.N0000,5,2022,82.07058823529412,201929.29
HNB.X0000,5,2022,79.05882352941177,201929.29
IDL.N0000,5,2022,6.021428571428571,201929.29
JINS.N0000,5,2022,21.51764705882353,201929.29
JKH.N0000,5,2022,128.6764705882353,201929.29
KGAL.N0000,5,2022,138.5441176470588,201929.29
KOTA.N0000,5,2022,4.258823529411765,201929.29
KZOO.N0000,5,2022,7.164705882352941,201929.29
LCBF.N0000,5,2022,1.911764705882353,201929.29
LDEV.N0000,5,2022,4.129411764705883,201929.29
LFIN.N0000,5,2022,47.476470588235294,201929.29
LGIL.N0000,5,2022,7.382352941176471,201929.29
LIOC.N0000,5,2022,46.13529411764706,201929.29
LION.N0000,5,2022,494.1458333333333,201929.29
LLUB.N0000,5,2022,86.98823529411764,201929.29
LMF.N0000,5,2022,128.80882352941177,201929.29
LOFC.N0000,5,2022,8.58235294117647,201929.29
LOLC.N0000,5,2022,544.8088235294117,201929.29
LPRT.N0000,5,2022,142.82142857142858,201929.29
LVEF.N0000,5,2022,8.285714285714286,201929.29
LWL.N0000,5,2022,56.51176470588236,201929.29
MDL.N0000,5,2022,11.735294117647058,201929.29
MELS.N0000,5,2022,40.311764705882354,201929.29
MFL.N0000,5,2022,9.26875,201929.29
MGT.N0000,5,2022,31.741176470588236,201929.29
NDB.N0000,5,2022,42.22941176470588,201929.29
NEST.N0000,5,2022,987.8529411764706,201929.29
NHL.N0000,5,2022,6.641176470588236,201929.29
NIFL.N0000,5,2022,270.55,201929.29
NTB.N0000,5,2022,38.34117647058823,201929.29
ONAL.N0000,5,2022,27.02857142857143,201929.29
OSEA.N0000,5,2022,13.341176470588236,201929.29
PACK.N0000,5,2022,10.976470588235294,201929.29
PALM.N0000,5,2022,34.325,201929.29
PAP.N0000,5,2022,3.835294117647059,201929.29
PARQ.N0000,5,2022,15.117647058823529,201929.29
PINS.N0000,5,2022,22.68235294117647,201929.29
PLC.N0000,5,2022,6.741176470588235,201929.29
PLR.N0000,5,2022,6.035294117647059,201929.29
RAL.N0000,5,2022,4.111764705882353,201929.29
RCL.N0000,5,2022,30.247058823529414,201929.29
RICH.N0000,5,2022,13.264705882352942,201929.29
RIL.N0000,5,2022,6.823529411764706,201929.29
RWSL.N0000,5,2022,4.11875,201929.29
SAMP.N0000,5,2022,38.182352941176475,201929.29
SDB.N0000,5,2022,24.25294117647059,201929.29
SELI.N0000,5,2022,608.75,201929.29
SEMB.N0000,5,2022,0.7000000000000001,201929.29
SEYB.N0000,5,2022,29.094117647058823,201929.29
SEYB.X0000,5,2022,19.11176470588235,201929.29
SHL.N0000,5,2022,26.099999999999998,201929.29
SHOT.N0000,5,2022,12.508333333333333,201929.29
SINH.N0000,5,2022,2.347058823529412,201929.29
SIRA.N0000,5,2022,8.323529411764707,201929.29
SPEN.N0000,5,2022,75.74705882352941,201929.29
SUN.N0000,5,2022,35.88823529411765,201929.29
TAFL.N0000,5,2022,131.7941176470588,201929.29
TAP.N0000,5,2022,6.341176470588235,201929.29
TILE.N0000,5,2022,46.182352941176475,201929.29
TJL.N0000,5,2022,39.741176470588236,201929.29
TKYO.N0000,5,2022,26.694117647058825,201929.29
TKYO.X0000,5,2022,21.599999999999998,201929.29
TYRE.N0000,5,2022,48.05294117647059,201929.29
UBC.N0000,5,2022,5.8,201929.29
UDPL.N0000,5,2022,39.97272727272727,201929.29
VFIN.N0000,5,2022,30.558823529411764,201929.29
VLL.N0000,5,2022,6.564705882352941,201929.29
VONE.N0000,5,2022,33.95882352941176,201929.29
VPEL.N0000,5,2022,7.235294117647059,201929.29
WATA.N0000,5,2022,99.45882352941176,201929.29
WIND.N0000,5,2022,15.076470588235296,201929.29
AAIC.N0000,6,2022,54.209523809523816,201929.29
ACL.N0000,6,2022,41.23809523809524,201929.29
AEL.N0000,6,2022,10.58095238095238,201929.29
AGST.N0000,6,2022,6.676190476190476,201929.29
ALUM.N0000,6,2022,6.490476190476191,201929.29
AMF.N0000,6,2022,7.590000000000001,201929.29
AMSL.N0000,6,2022,14.444444444444445,201929.29
ASIR.N0000,6,2022,30.985000000000003,201929.29
ASIY.N0000,6,2022,2.9952380952380953,201929.29
ASPM.N0000,6,2022,56.8,201929.29
BFL.N0000,6,2022,123.05952380952381,201929.29
BIL.N0000,6,2022,8.504761904761905,201929.29
BOGA.N0000,6,2022,57.27142857142857,201929.29
BRWN.N0000,6,2022,130.60714285714286,201929.29
CALT.N0000,6,2022,10.595238095238095,201929.29
CARE.N0000,6,2022,31.03,201929.29
CARG.N0000,6,2022,159.53125,201929.29
CCS.N0000,6,2022,26.16190476190476,201929.29
CDB.X0000,6,2022,58.80952380952381,201929.29
CFIN.N0000,6,2022,58.976190476190474,201929.29
CFLB.N0000,6,2022,11.510526315789473,201929.29
CFVF.N0000,6,2022,9.528571428571428,201929.29
CIC.N0000,6,2022,36.266666666666666,201929.29
CIC.X0000,6,2022,23.585714285714285,201929.29
CIND.N0000,6,2022,56.54761904761905,201929.29
CINV.N0000,6,2022,27.104761904761908,201929.29
CITW.N0000,6,2022,1.6285714285714288,201929.29
COCR.N0000,6,2022,19.476190476190474,201929.29
COMB.N0000,6,2022,51.26190476190476,201929.29
COMB.X0000,6,2022,46.666666666666664,201929.29
CTC.N0000,6,2022,600.9875,201929.29
CTHR.N0000,6,2022,154.38888888888889,201929.29
CWL.N0000,6,2022,10.911764705882353,201929.29
DFCC.N0000,6,2022,35.576190476190476,201929.29
DIAL.N0000,6,2022,9.41904761904762,201929.29
DIPD.N0000,6,2022,28.157142857142855,201929.29
DIST.N0000,6,2022,13.899999999999999,201929.29
DPL.N0000,6,2022,9.51,201929.29
EAST.N0000,6,2022,6.435294117647059,201929.29
ELPL.N0000,6,2022,77.57619047619048,201929.29
EML.N0000,6,2022,4.814285714285714,201929.29
EXPO.N0000,6,2022,183.86904761904762,201929.29
GHLL.N0000,6,2022,9.92,201929.29
GLAS.N0000,6,2022,11.338095238095239,201929.29
GRAN.N0000,6,2022,70.25238095238095,201929.29
GREG.N0000,6,2022,36.75,201929.29
HASU.N0000,6,2022,34.214285714285715,201929.29
HAYC.N0000,6,2022,54.95238095238095,201929.29
HAYL.N0000,6,2022,64.5952380952381,201929.29
HBS.N0000,6,2022,19.5,201929.29
HHL.N0000,6,2022,44.33809523809524,201929.29
HNB.N0000,6,2022,78.10952380952381,201929.29
HNB.X0000,6,2022,75.34285714285714,201929.29
IDL.N0000,6,2022,5.358823529411764,201929.29
JINS.N0000,6,2022,20.358823529411765,201929.29
JKH.N0000,6,2022,123.28571428571429,201929.29
KGAL.N0000,6,2022,131.6125,201929.29
KOTA.N0000,6,2022,3.9857142857142858,201929.29
KZOO.N0000,6,2022,6.357142857142857,201929.29
LCBF.N0000,6,2022,1.8095238095238095,201929.29
LDEV.N0000,6,2022,4.6761904761904765,201929.29
LFIN.N0000,6,2022,45.114285714285714,201929.29
LGIL.N0000,6,2022,6.323809523809524,201929.29
LIOC.N0000,6,2022,66.76666666666667,201929.29
LION.N0000,6,2022,510.6363636363636,201929.29
LLUB.N0000,6,2022,78.74761904761905,201929.29
LMF.N0000,6,2022,117.54761904761905,201929.29
LOFC.N0000,6,2022,7.4,201929.29
LOLC.N0000,6,2022,469.1309523809524,201929.29
LPRT.N0000,6,2022,156.0,201929.29
LUMX.N0000,6,2022,7.45,201929.29
LVEF.N0000,6,2022,7.359999999999999,201929.29
LWL.N0000,6,2022,55.7047619047619,201929.29
MDL.N0000,6,2022,10.95625,201929.29
MELS.N0000,6,2022,40.05238095238095,201929.29
MFL.N0000,6,2022,8.700000000000001,201929.29
MGT.N0000,6,2022,31.085714285714282,201929.29
NDB.N0000,6,2022,35.53809523809524,201929.29
NEST.N0000,6,2022,947.75,201929.29
NHL.N0000,6,2022,5.795238095238095,201929.29
NIFL.N0000,6,2022,295.475,201929.29
NTB.N0000,6,2022,35.63333333333333,201929.29
ONAL.N0000,6,2022,26.4,201929.29
OSEA.N0000,6,2022,13.847619047619048,201929.29
PACK.N0000,6,2022,10.22857142857143,201929.29
PALM.N0000,6,2022,35.207692307692305,201929.29
PAP.N0000,6,2022,3.5571428571428574,201929.29
PARQ.N0000,6,2022,13.685714285714285,201929.29
PINS.N0000,6,2022,20.452380952380953,201929.29
PLC.N0000,6,2022,6.3428571428571425,201929.29
PLR.N0000,6,2022,5.480952380952381,201929.29
RAL.N0000,6,2022,4.0285714285714285,201929.29
RCL.N0000,6,2022,27.176190476190477,201929.29
RICH.N0000,6,2022,13.595238095238095,201929.29
RIL.N0000,6,2022,6.557142857142857,201929.29
RWSL.N0000,6,2022,3.880952380952381,201929.29
SAMP.N0000,6,2022,33.27142857142857,201929.29
SDB.N0000,6,2022,21.976190476190474,201929.29
SELI.N0000,6,2022,557.5,201929.29
SEMB.N0000,6,2022,0.6095238095238095,201929.29
SEYB.N0000,6,2022,28.195,201929.29
SEYB.X0000,6,2022,16.642857142857142,201929.29
SHAL.N0000,6,2022,1146.3125,201929.29
SHL.N0000,6,2022,23.904761904761905,201929.29
SHOT.N0000,6,2022,12.899999999999999,201929.29
SINH.N0000,6,2022,2.3857142857142857,201929.29
SIRA.N0000,6,2022,7.885714285714285,201929.29
SPEN.N0000,6,2022,82.52857142857142,201929.29
SUN.N0000,6,2022,31.547619047619047,201929.29
TAFL.N0000,6,2022,127.5952380952381,201929.29
TAP.N0000,6,2022,6.1,201929.29
TILE.N0000,6,2022,41.68571428571428,201929.29
TJL.N0000,6,2022,39.576190476190476,201929.29
TKYO.N0000,6,2022,24.014285714285716,201929.29
TKYO.X0000,6,2022,17.32857142857143,201929.29
TYRE.N0000,6,2022,47.77142857142857,201929.29
UBC.N0000,6,2022,5.642857142857143,201929.29
UDPL.N0000,6,2022,34.730000000000004,201929.29
VFIN.N0000,6,2022,27.033333333333335,201929.29
VLL.N0000,6,2022,6.470000000000001,201929.29
VONE.N0000,6,2022,32.542857142857144,201929.29
VPEL.N0000,6,2022,7.057142857142857,201929.29
WATA.N0000,6,2022,98.14285714285714,201929.29
WIND.N0000,6,2022,13.814285714285715,201929.29
AAIC.N0000,7,2022,53.605,201929.29
ACL.N0000,7,2022,36.995,201929.29
ACME.R0000,7,2022,0.21666666666666667,201929.29
AEL.N0000,7,2022,9.66,201929.29
AGST.N0000,7,2022,5.985,201929.29
AGST.X0000,7,2022,5.0,201929.29
ALUM.N0000,7,2022,6.18,201929.29
AMF.N0000,7,2022,7.2444444444444445,201929.29
AMSL.N0000,7,2022,14.657894736842104,201929.29
ASIR.N0000,7,2022,30.945,201929.29
ASIY.N0000,7,2022,3.06,201929.29
BFL.N0000,7,2022,130.925,201929.29
BIL.N0000,7,2022,7.32,201929.29
BOGA.N0000,7,2022,47.464999999999996,201929.29
BRWN.N0000,7,2022,109.42249999999999,201929.29
CALT.N0000,7,2022,10.385,201929.29
CARE.N0000,7,2022,30.036842105263162,201929.29
CARG.N0000,7,2022,154.7,201929.29
CCS.N0000,7,2022,27.8,201929.29
CDB.X0000,7,2022,56.425,201929.29
CFIN.N0000,7,2022,59.464999999999996,201929.29
CFLB.N0000,7,2022,10.385,201929.29
CFVF.N0000,7,2022,9.24,201929.29
CIC.N0000,7,2022,35.5,201929.29
CIC.X0000,7,2022,24.46315789473684,201929.29
CIND.N0000,7,2022,54.885000000000005,201929.29
CINV.N0000,7,2022,24.605,201929.29
CITW.N0000,7,2022,1.5550000000000002,201929.29
COCR.N0000,7,2022,18.330000000000002,201929.29
COMB.N0000,7,2022,51.8,201929.29
COMB.X0000,7,2022,41.79,201929.29
CTC.N0000,7,2022,568.6428571428571,201929.29
CTHR.N0000,7,2022,150.92857142857142,201929.29
CWL.N0000,7,2022,9.165000000000001,201929.29
DFCC.N0000,7,2022,36.31428571428572,201929.29
