Label,Year,Month,Close (Rs.),Loan Rate
UBC.N0000,2019,4,11.3,9.0
UDPL.N0000,2019,4,28.7,9.0
VFIN.N0000,2019,4,67.3,9.0
VLL.N0000,2019,4,4.4,9.0
VONE.N0000,2019,4,14.8,9.0
VPEL.N0000,2019,4,6.0,9.0
WATA.N0000,2019,4,18.7,9.0
AAIC.N0000,2019,5,34.3,8.5
ACL.N0000,2019,5,29.6,8.5
AEL.N0000,2019,5,12.2,8.5
AGST.N0000,2019,5,4.0,8.5
ALHP.N0000,2019,5,0.9,8.5
ALUM.N0000,2019,5,9.5,8.5
AMF.N0000,2019,5,441.0,8.5
AMSL.N0000,2019,5,9.0,8.5
ARPI.N0000,2019,5,154.1,8.5
ASIR.N0000,2019,5,19.6,8.5
ASIY.N0000,2019,5,1.8,8.5
BFL.N0000,2019,5,99.4,8.5
BIL.N0000,2019,5,1.4,8.5
BLI.N0000,2019,5,23.5,8.5
BOGA.N0000,2019,5,11.1,8.5
BRWN.N0000,2019,5,40.55,8.5
CARE.N0000,2019,5,30.4,8.5
CARG.N0000,2019,5,195.0,8.5
CCS.N0000,2019,5,580.0,8.5
CDB.X0000,2019,5,60.0,8.5
CFIN.N0000,2019,5,84.0,8.5
CFLB.N0000,2019,5,12.2,8.5
CFVF.N0000,2019,5,22.0,8.5
CIC.N0000,2019,5,35.6,8.5
CIC.X0000,2019,5,26.0,8.5
CIND.N0000,2019,5,27.5,8.5
CINV.N0000,2019,5,34.05,8.5
CITW.N0000,2019,5,1.8,8.5
CLC.N0000,2019,5,2.4,8.5
COCR.N0000,2019,5,23.0,8.5
COF.U0000,2019,5,6.4,8.5
COMB.N0000,2019,5,90.5,8.5
COMB.X0000,2019,5,79.6,8.5
CTC.N0000,2019,5,1300.1,8.5
CTHR.N0000,2019,5,160.0,8.5
DFCC.N0000,2019,5,69.7,8.5
DIAL.N0000,2019,5,8.9,8.5
DIPD.N0000,2019,5,77.0,8.5
DIST.N0000,2019,5,14.2,8.5
DPL.N0000,2019,5,5.1,8.5
EAST.N0000,2019,5,8.0,8.5
ELPL.N0000,2019,5,17.05,8.5
EXPO.N0000,2019,5,4.0,8.5
GHLL.N0000,2019,5,5.9,8.5
GLAS.N0000,2019,5,3.3,8.5
GOOD.N0000,2019,5,736.0,8.5
GRAN.N0000,2019,5,46.8,8.5
GREG.N0000,2019,5,8.5,8.5
GSF.N0000,2019,5,16.9,8.5
HASU.N0000,2019,5,110.0,8.5
HAYC.N0000,2019,5,132.0,8.5
HAYL.N0000,2019,5,148.6,8.5
HHL.N0000,2019,5,69.0,8.5
HNB.N0000,2019,5,145.0,8.5
HNB.X0000,2019,5,130.0,8.5
IDL.N0000,2019,5,6.4,8.5
JINS.N0000,2019,5,24.9,8.5
JKH.N0000,2019,5,138.0,8.5
KGAL.N0000,2019,5,58.0,8.5
KOTA.N0000,2019,5,5.9,8.5
KZOO.N0000,2019,5,2.8,8.5
LDEV.N0000,2019,5,3.0,8.5
LFIN.N0000,2019,5,120.0,8.5
LIOC.N0000,2019,5,17.0,8.5
LION.N0000,2019,5,537.0,8.5
LLMP.N0000,2019,5,1.1,8.5
LLMP.X0000,2019,5,0.7,8.5
LLUB.N0000,2019,5,55.0,8.5
LMF.N0000,2019,5,100.0,8.5
LOFC.N0000,2019,5,3.2,8.5
LOLC.N0000,2019,5,88.0,8.5
LPRT.N0000,2019,5,140.0,8.5
LVEF.N0000,2019,5,7.05,8.5
LWL.N0000,2019,5,54.5,8.5
MELS.N0000,2019,5,38.6,8.5
MFL.N0000,2019,5,15.1,8.5
MGT.N0000,2019,5,8.0,8.5
MORI.N0000,2019,5,652.3,8.5
MORI.X0000,2019,5,490.45,8.5
NAVF.U0000,2019,5,80.0,8.5
NDB.N0000,2019,5,88.0,8.5
NEST.N0000,2019,5,1574.9,8.5
NHL.N0000,2019,5,4.0,8.5
NIFL.N0000,2019,5,38.0,8.5
NTB.N0000,2019,5,81.5,8.5
ONAL.N0000,2019,5,100.0,8.5
OSEA.N0000,2019,5,14.7,8.5
PALM.N0000,2019,5,17.1,8.5
PAP.N0000,2019,5,3.0,8.5
PARA.N0000,2019,5,49.05,8.5
PARQ.N0000,2019,5,30.2,8.5
PDL.N0000,2019,5,121.0,8.5
PINS.N0000,2019,5,18.2,8.5
PLC.N0000,2019,5,13.7,8.5
RAL.N0000,2019,5,2.1,8.5
RCL.N0000,2019,5,56.2,8.5
RICH.N0000,2019,5,9.0,8.5
RIL.N0000,2019,5,6.0,8.5
RWSL.N0000,2019,5,1.9,8.5
SAMP.N0000,2019,5,140.0,8.5
SAMP.R0000,2019,5,1.3,8.5
SDB.N0000,2019,5,59.9,8.5
SELI.N0000,2019,5,711.4,8.5
